Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.3789,0.6044,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.3301,0.6168,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.9336,0.7227,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.5293,0.0872,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.4141,0.1495,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.3672,0.1869,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.3613,0.0498,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.3516,0.1869,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.6387,0.9595,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.5527,0.8972,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.8242,0.9502,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.3984,0.6542,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.2656,0.8037,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.1250,0.9128,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.4277,0.8754,,
Adversaire,BALL LOST,Duels,2,,,,,5,0,0.8965,0.9128,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.3379,0.2150,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.3242,0.2150,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.1660,0.0935,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.2266,0.0685,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.3262,0.2991,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.3379,0.1495,,
Adversaire,BALL LOST,Duels,2,,,,,3,0,0.0547,0.2461,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.2754,0.0467,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.3262,0.1651,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.2949,0.3801,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.5137,0.2960,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.2891,0.6698,,
Adversaire,BALL LOST,Duels,2,,,,,20,0,0.5820,0.8006,,
Adversaire,BALL LOST,Duels,2,,,,,28,0,0.0977,0.4517,,
Adversaire,BALL LOST,Duels,2,,,,,28,0,0.2363,0.6854,,
Adversaire,BALL LOST,Duels,2,,,,,28,0,0.0801,0.8847,,
Adversaire,BALL LOST,Duels,2,,,,,26,0,0.8906,0.8972,,
Adversaire,BALL LOST,Duels,2,,,,,26,0,0.8613,0.9190,,
Adversaire,BALL LOST,Duels,2,,,,,26,0,0.3867,0.7196,,
Adversaire,BALL LOST,Duels,2,,,,,4,0,0.1289,0.6199,,
Adversaire,BALL LOST,Duels,2,,,,,4,0,0.4551,0.7165,,
