Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,Passe ratee,Lost,2,,,,,11,,0.5371,0.7819,0.5313,0.7103
Adversaire,Passe ratee,Lost,2,,,,,11,,0.8867,0.5140,0.8516,0.8754
Adversaire,Passe ratee,Lost,2,,,,,11,,0.9590,0.7103,0.9297,0.3115
Adversaire,Passe ratee,Lost,2,,,,,11,,0.9023,0.7975,0.9004,0.8474
Adversaire,Passe ratee,Lost,2,,,,,11,,0.8301,0.8629,0.6543,0.8785
Adversaire,Passe ratee,Lost,2,,,,,11,,0.7227,0.8879,0.6387,0.9283
Adversaire,Passe ratee,Lost,2,,,,,21,,0.4219,0.1340,0.2617,0.8380
Adversaire,Passe ratee,Lost,2,,,,,21,,0.4688,0.2492,0.4395,0.1495
Adversaire,Passe ratee,Lost,2,,,,,21,,0.7090,0.4424,0.5430,0.3863
Adversaire,Passe ratee,Lost,2,,,,,21,,0.6699,0.3676,0.5547,0.7134
Adversaire,Passe ratee,Lost,2,,,,,21,,0.8281,0.5452,0.6699,0.1931
Adversaire,Passe ratee,Lost,2,,,,,21,,0.7383,0.1495,0.6543,0.0935
Adversaire,Passe ratee,Lost,2,,,,,21,,0.6016,0.4579,0.6250,0.4393
Adversaire,Passe ratee,Lost,2,,,,,21,,0.4141,0.8910,0.6426,0.9097
Adversaire,Passe ratee,Lost,2,,,,,27,,0.5645,0.8349,0.4336,0.9470
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.6602,0.3271,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.8613,0.3053,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.8457,0.1745,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.7832,0.6822,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.6094,0.6698,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.6719,0.2492,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.6250,0.2804,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.3867,0.2150,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.1953,0.0717,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.6621,0.1184,,
Adversaire,Ballon perdu,Lost,2,,,,,77,,0.7090,0.6822,,
Adversaire,Ballon perdu,Lost,2,,,,,11,,0.5313,0.7850,,
